ZINC Number	Mol Weight	Formula	Smiles	Pathway	Mean (30 mM)	Stdev (30 mM)
ZINC05717049	308.27	C13H14N3O6	CCOC(=O)N/C(=N\C(=O)OCC)/c1ccc(cc1)[N+](=O)[O-]	PI3K	1.00	0.15
ZINC05720306	302.28	C15H14N2O5	COc1ccc(c(c1)/C=N/c2ccc(cc2O)[N+](=O)[O-])OC	HIS path	0.98	0.08
ZINC05732949	316.41	C19H26NO3	C[C@@H]1C[C@@H]2[C@@H]3Cc4ccc(c(c4[C@]2(CC[NH+]3C)CC1=O)O)OC	Proteasome inducers	0.95	0.08
ZINC05732955	316.41	C19H26NO3	C[NH2+][C@H]1Cc2ccc(c(c2[C@@]3([C@@H]1CCC(=O)C3)C=C)OC)OC	Proteasome inducers	0.77	0.02
ZINC05738750	325.29	C15H14F3N3O2	COc1ccc(cc1OC)/C=N/Nc2ccc(cn2)C(F)(F)F	PI3K	1.01	0.05
ZINC05793393	268.70	C14H9ClN4	Cc1cc2ncc(c(n2n1)c3ccc(cc3)Cl)C#N	Calcineurin1	1.00	0.03
ZINC05814054	335.42	C16H21N3O3S	C[C@H]1CCC[C@@H]([C@@H]1C)NC(=O)CSc2nnc(o2)c3ccco3	HIS path	0.98	0.02
ZINC05830242	226.34	C7H16NO3S2	C([C@H](CS)S)[NH2+]C(CO)(CO)CO	Proteasome I-lact-mg 132	0.89	0.02
ZINC05879226			CN1CC(=O)N2[C@@H](C1=O)Cc3c4ccccc4[nH]c3[C@@H]2c5ccccc5	E3 ligase	1.02	0.07
ZINC05891973	189.30	C9H23N3O	C[NH+](C)CCC(=NO)CC[NH+](C)C	Porins	1.01	0.15
ZINC05938203	259.37	C14H17N3S	Cc1nc(c2c3c(sc2n1)CCCC3)NC4CC4	Autophagy	1.04	0.19
ZINC05939079	250.30	C16H14N2O	c1ccc(cc1)NCc2cc(=O)[nH]c3c2cccc3	CD36	0.97	0.07
ZINC05961188	244.12	C10H11Cl2N3	Cc1cc2nc(c(c(n2n1)Cl)CCCl)C	Calcineurin1	1.04	0.05
ZINC05999601	251.28	C16H13NO2	c1ccc(cc1)[C@H]2CC(=O)C(=O)N2c3ccccc3	Lip	1.03	0.09
ZINC06069162	183.23	C12H11N2	Cc1c2c(cc[nH+]1)c3ccccc3[nH]2	AKT1	1.06	0.14
ZINC06070238	212.25	C13H12N2O	Cc1cc2c(c[nH+]1)c3ccccc3[nH]2	AKT1	1.10	0.09
ZINC06152172	338.40	C20H22N2O3	Cc1ccc(cc1)CN2C[C@H](CC2=O)C(=O)Nc3ccc(cc3)OC	GLN path	0.98	0.08
ZINC06203084	307.30	C17H13N3O3	Cc1cc(ccc1[N+](=O)[O-])C(=O)Nc2cccc3c2cccn3	HIS path	0.97	0.04
ZINC06253039	234.27	C13H16NO3	C[C@H](c1ccccc1)NC(=O)CCCC(=O)[O-]	CYS path	0.88	0.01
ZINC06292969	269.30	C10H13N4O3S	C/C(=N/S(=O)(=O)c1ccc(cc1)/N=N\N(C)C)/[O-]	Cations channels	1.02	0.08
ZINC06348552	262.28	C12H10N2O3S	Cc1c2c(ccn1)c3ccccc3n2S(=O)(=O)O	AKT1	0.90	0.03
ZINC06393516	341.40	C19H23N3O3	CCOc1cc(ccc1OC)/C=N/NC(=O)c2ccc(cc2)N(C)C	PI3K	0.97	0.06
ZINC06401380	247.74	C10H14ClNO2S	CCNS(=O)(=O)c1cc(c(cc1C)Cl)C	Cations channels	1.07	0.11
ZINC06401383	288.58	C8H8Cl3NO2S	CCNS(=O)(=O)c1cc(c(cc1Cl)Cl)Cl	Cations channels	0.98	0.05
ZINC06509614	188.23	C11H12N2O	CCc1cccc2c1[nH]cc2/C=N\O	AKT1	1.08	0.04
ZINC06529083	270.29	C14H14N4O2	c1ccc(cc1)/N=N/[C@H](O)[C@H](O)/N=N/c2ccccc2	TRP path	1.01	0.07
ZINC06543951	345.46	C18H23N3O2S	C[C@H]1CCCC[C@H]1NC(=O)CSc2nnc(o2)Cc3ccccc3	HIS path	0.90	0.03
ZINC06549877	333.34	C19H15N3O3	CC(=O)Nc1ccc(cc1)c2[nH]c(c(n2)c3ccco3)c4ccco4	ABC transporters	1.07	0.08
ZINC06556279	253.30	C16H15NO2	C[C@]12CCCc3c1n(c(=O)cc3[O-])-c4c2cccc4	Proteasome inducers	0.87	0.02
ZINC06556809	253.30	C15H15N3O	Cc1ccc(cc1)c2cc3[nH]c(c(c(=O)n3n2)C)C	Calcineurin1	0.81	0.09
ZINC06562810	212.63	C10H9ClO3	C/C(=C\C(=O)c1cc(ccc1O)Cl)/[O-]	Proteasome I-lact-mg 132	1.04	0.05
ZINC06588888	251.23	C9H8F3NO2S	c1cc(c(c(c1F)F)F)S(=O)(=O)NC2CC2	Cations channels	0.98	0.01
ZINC06690930	223.27	C14H13N3	Cc1cc2nc(cc(n2n1)C)c3ccccc3	Calcineurin1	0.85	0.15
ZINC06727051	228.65	C10H10ClFN2O	c1cc(c(cc1NC(=O)NC2CC2)Cl)F	TRP path	0.84	0.12
ZINC06741366	300.59	C9H8Cl3NO2S	c1c(c(cc(c1Cl)Cl)Cl)S(=O)(=O)NC2CC2	Cations channels	0.81	0.06
ZINC06742607	343.45	C17H21N5OS	C=CCn1c(nnc1SCC(=O)NC2CCCC2)c3ccccn3	HIS path	0.85	0.10
ZINC06742730	268.16	C9H11Cl2NO2S	CCNS(=O)(=O)c1cc(c(cc1C)Cl)Cl	Cations channels	1.03	0.05
ZINC06746182	267.72	C11H14ClN5O	CCCC(=O)Nc1nc2nc(c(c(n2n1)C)Cl)C	Calcineurin1	0.95	0.04
ZINC06750015	258.34	C11H18N2O3S	CC(=O)N1[C@@H](CSC12CC[NH+](CC2)C)C(=O)[O-]	Proteasome inducers	0.93	0.10
ZINC06759730	280.32	C16H16N4O	Cc1ccc(cc1)c2nc3nc(c(c(n3n2)C)C(=O)C)C	Calcineurin1	0.94	0.05
ZINC06787309	280.32	C17H16N2O2	Cc1ccc(cc1C)[C@@]2(C(=O)NC(=O)N2)c3ccccc3	Cations channels	1.17	0.06
ZINC06794427	251.27	C9H9N5O2S	CSc1nc(n(n1)c2ccc(cc2)[N+](=O)[O-])N	PI3K	1.07	0.07
ZINC06818375	330.40	C17H18N2O3S	CN(Cc1ccccc1)S(=O)(=O)c2ccc3c(c2)CCC(=O)N3	CD36	0.95	0.13
ZINC06852338	299.39	C12H21N5O2S	CC(C)Cn1c(nnc1SCC(=O)N)N2CCOCC2	HIS path	0.87	0.18
ZINC06859231	206.24	C10H8NO2S	CC1=C(Sc2ccccc2N1)C(=O)[O-]	CYS path	0.82	0.10
ZINC06938279	343.42	C19H25N3O3	Cc1ccc(cc1)CN2C[C@@H](CC2=O)C(=O)N3CCN(CC3)C(=O)C	GLN path	0.75	0.32
ZINC07099450	276.33	C18H16N2O	c1ccc2c(c1)ccn2CC(=O)N3CCc4c3cccc4	FASII-PDIM metabolism	1.06	0.17
ZINC07113192	306.28	C16H13F3N2O	c1ccc(cc1)[C@H]2Nc3ccccc3C(=O)N2CC(F)(F)F	Lip	1.21	0.04
ZINC07150368	344.36	C19H18F2N2O2	CC(=O)c1ccc(cc1)N2CCN(CC2)C(=O)c3ccc(c(c3)F)F	GLN path	0.86	0.22
ZINC07217536	340.37	C19H20N2O4	c1ccc2c(c1)[C@H](CCO2)NC(=O)[C@H]3CC(=O)N(C3)Cc4ccco4	GLN path	0.84	0.11
ZINC07375448	265.25	C10H10F3NO2S	c1cc(ccc1C(F)(F)F)S(=O)(=O)NC2CC2	Cations channels	1.15	0.12
ZINC07382478	340.42	C20H24N2O3	C[C@H](C(=O)N1CCN(CC1)c2ccccc2)Oc3ccccc3OC	ABC transporters	0.98	0.10
ZINC07415970	307.45	C16H25N3OS	c1cn(c(n1)SCC(=O)NC2CCCCC2)C3CCCC3	HIS path	1.05	0.10
ZINC07416075	307.45	C16H25N3OS	c1cn(c(n1)SCC(=O)NC2CCCC2)C3CCCCC3	HIS path	1.00	0.11
ZINC07452535	309.36	C18H19N3O2	Cc1ccc(cc1C)N2C[C@@H](CC2=O)C(=O)Nc3ccncc3	GLN path	0.97	0.07
ZINC07570637	339.78	C18H14ClN3O2	c1ccc(c(c1)Cn2cc(ccc2=O)C(=O)Nc3cccnc3)Cl	GLN path	0.88	0.17
ZINC07573931	336.36	C20H17FN2O2	CN(c1ccccc1)C(=O)c2ccc(=O)n(c2)Cc3ccc(cc3)F	GLN path	1.01	0.14
ZINC07636163	246.70	C12H11ClN4	Cc1cc(nc2c1c3nc(cc(n3n2)Cl)C)C	Calcineurin1	0.61	0.58
ZINC07703263	293.31	C12H14F3NO2S	C[C@@H](C1CC1)NS(=O)(=O)c2ccc(cc2)C(F)(F)F	Cations channels	1.33	0.06
ZINC07744890	324.34	C20H16F2NO	c1ccc(cc1)Cc2cc[n+](cc2)CC(=O)c3ccc(c(c3)F)F	GLN path	1.08	0.05
ZINC07778471	335.44	C15H17N3O2S2	Cc1c(sc2c1c(=O)n(c(n2)SCc3c(noc3C)C)C)C	GLN path	0.96	0.06
ZINC07885975	264.32	C17H16N2O	c1ccc(cc1)[C@H]2Nc3ccccc3C(=O)N2C4CC4	Lip	1.00	0.03
ZINC07885993	307.39	C19H21N3O	CN(C)c1ccc(cc1)[C@H]2Nc3ccccc3C(=O)N2C4CC4	Lip	0.98	0.11
ZINC07886015	294.35	C18H18N2O2	COc1ccc(cc1)[C@H]2Nc3ccccc3C(=O)N2C4CC4	Lip	1.12	0.18
ZINC07886335	322.40	C20H22N2O2	CCCOc1ccc(cc1)[C@H]2Nc3ccccc3C(=O)N2C4CC4	Lip	1.42	0.04
ZINC07946439	260.29	C14H16N2O3	CCOc1cc(ccc1OCC#C)/C=N/NC(=O)C	PI3K	0.91	0.08
ZINC08113123	278.33	C13H14N2O3S	Cc1c(cc(o1)CCC(=O)Nc2nccs2)C(=O)C	HIS path	0.88	0.12
ZINC08324450	335.43	C18H17N5S	CN(Cc1cnn(c1)Cc2ccccc2)c3c4ccsc4ncn3	GLN path	0.89	0.08
ZINC08325649	302.37	C17H22N2O3	CC(C)N(C(C)C)C(=O)COC(=O)c1cc2ccccc2[nH]1	HIS path	1.11	0.05
ZINC08393128	258.30	C12H10N4OS	Cc1ccc(cc1)n2c3c(cn2)c(=O)[nH]c(=S)[nH]3	E3 ligase	1.01	0.18
ZINC08462925	176.28	C12H18N	c1ccc(cc1)C[C@@H]2CCCC[NH2+]2	FASII-PDIM metabolism	0.83	0.10
ZINC08536493	331.37	C20H16FN4	c1cc(ccc1c2[nH]c(c([nH+]2)c3ccc(cc3)F)c4ccncc4)N	ABC transporters	1.29	0.12
ZINC08578841	284.25	C14H10N3O4	Cn1c(=O)c2c(cc(=O)[nH]c2n(c1=O)c3ccccc3)[O-]	E3 ligase	1.01	0.08
ZINC08584475	271.34	C14H13N3OS	Cn1ccnc1SCc2cc(=O)[nH]c3c2cccc3	CD36	1.06	0.05
ZINC08586750	313.37	C18H20FN3O	c1cc(ccc1C(=O)N2CC[NH+](CC2)CCc3ccncc3)F	GLN path	0.86	0.03
ZINC08615381	284.36	C16H20N4O	Cc1cc2c(cc1C)N(c3c(c(=O)[nH]c(n3)N)C2(C)C)C	E3 ligase	1.13	0.27
ZINC08619391	321.54	C12H7Cl3O4	c1ccc2c(c1)C(=O)C(=C(C2=O)[O-])[C@@H](C(Cl)(Cl)Cl)O	TRP path	1.12	0.25
ZINC08662085	301.38	C17H23N3O2	CCCCNC(=O)C1CCN(CC1)c2nc3ccccc3o2	ATPase	1.15	0.09
ZINC08673103	221.25	C15H11NO	c1ccc(cc1)c2cc(=O)[nH]c3c2cccc3	CD36	0.98	0.03
ZINC08673151	270.22	C13H8N3O4	c1ccc(cc1)n2c3c(c(cc(=O)[nH]3)[O-])c(=O)[nH]c2=O	E3 ligase	0.95	0.05
ZINC08706421	348.42	C19H16N4OS	Cc1csc(n1)NC(=O)c2ccc3c(c2)nc(n3c4ccccc4)C	HIS path	0.83	0.14
ZINC08736282	296.32	C17H16N2O3	COc1ccc(cc1)C(=O)Nc2ccc3c(c2)CCC(=O)N3	CD36	0.89	0.06
ZINC08743020	339.28	C17H11N2O6	c1cc(oc1)CN2C(=O)/C(=C/c3ccc4c(c3)OCO4)/C(=NC2=O)[O-]	GLN path	0.76	0.16
ZINC08743431	341.32	C16H9N2O5S	c1cc2c(cc1N3C(=O)/C(=C/c4ccsc4)/C(=O)N=C3[O-])OCO2	GLN path	1.02	0.11
ZINC08744114	338.36	C19H18N2O4	Cc1c(c(n[nH]1)c2ccc(cc2O)O)c3ccc4c(c3)OCCCO4	ATPase	1.03	0.01
ZINC08783696	290.38	C14H18N4OS	CC(C)Cn1c(nnc1SCC(=O)N)c2ccccc2	HIS path	0.93	0.07
ZINC08803963	296.32	C17H16N2O3	COc1ccccc1C(=O)Nc2ccc3c(c2)CCC(=O)N3	CD36	0.93	0.07
ZINC08803966	296.32	C17H16N2O3	COc1cccc(c1)C(=O)Nc2ccc3c(c2)CCC(=O)N3	CD36	0.94	0.06
ZINC08816935	298.34	C16H18N4O2	CCOc1ccccc1/C=N/NC(=O)c2c3c([nH]n2)CCC3	MeC	0.92	0.06
ZINC08816950	314.34	C16H18N4O3	CCOc1cccc(c1O)/C=N/NC(=O)c2c3c([nH]n2)CCC3	MeC	1.06	0.15
ZINC08828995	253.36	C16H15NS	c1ccc(cc1)[C@@H]2c3ccccc3CCNC2=S	Lip	1.09	0.13
ZINC08861086	265.26	C16H11NO3	c1ccc(cc1)OC(=O)c2cc(=O)[nH]c3c2cccc3	CD36	0.92	0.02
ZINC08873612	286.76	C15H15ClN4	Cc1cc2nc(c(c(n2n1)C)Cc3ccc(nc3)Cl)C	Calcineurin1	0.96	0.05
ZINC08877550	258.29	C10H14N2O4S	Cc1cc(cc(c1C)S(=O)(=O)N(C)C)[N+](=O)[O-]	CYS path	1.02	0.02
ZINC08903697	270.29	C14H14N4O2	c1cc(ccc1/C=N/NC(=O)c2c3c([nH]n2)CCC3)O	MeC	1.04	0.11
ZINC08918980	310.35	C18H18N2O3	COc1ccc(cc1)CNC(=O)c2ccc3c(c2)CCC(=O)N3	CD36	1.05	0.02
ZINC08939401	296.32	C17H16N2O3	COc1ccc(cc1)NC(=O)c2ccc3c(c2)CCC(=O)N3	CD36	1.02	0.07
ZINC08973079	340.33	C18H16N2O5	Cc1c(c(n[nH]1)c2ccc(cc2O)O)Oc3ccc(cc3)C(=O)OC	ATPase	1.60	0.32
ZINC08982828	270.13	C8H9Cl2NO3S	CCONS(=O)(=O)c1ccc(c(c1)Cl)Cl	Cations channels	1.71	0.17
ZINC08983659	210.49	C7H6Cl3N	Cc1cc(c(c(n1)Cl)CCl)Cl	Calcineurin1	1.02	0.07
ZINC08983758	203.19	C8H5F2O2S	c1cc(ccc1C(=O)[O-])SC(F)F	CYS path	1.00	0.03
ZINC09007754	269.30	C14H15N5O	c1ccnc(c1)/C=N/NC(=O)c2c3c([nH]n2)CCCC3	MeC	0.79	0.12
ZINC09007974	324.38	C18H20N4O2	C=CCc1cccc(c1O)/C=N/NC(=O)c2c3c([nH]n2)CCCC3	MeC	1.35	0.18
ZINC09041977	298.34	C16H18N4O2	COc1ccc(cc1)/C=N/NC(=O)c2c3c([nH]n2)CCCC3	MeC	1.01	0.08
ZINC09061925	268.16	C9H11Cl2NO2S	CCNS(=O)(=O)c1ccc(c(c1Cl)C)Cl	Cations channels	1.04	0.09
ZINC09089920	282.27	C15H12N3O3	CCn1cc(c2c1cccc2)/C=C\3/C(=O)NC(=O)N=C3[O-]	E3 ligase	0.95	0.09
ZINC09142721	302.33	C18H14N4O	Cc1nc(n(n1)c2ccc3ccccc3n2)c4ccccc4O	ATPase	0.94	0.13
ZINC09190342	321.33	C18H15N3O3	Cc1ccc(cc1[N+](=O)[O-])C(=O)Nc2cccc3c2ccc(n3)C	HIS path	0.85	0.06
ZINC09202654	255.66	C9H10ClN5O2	CCC(=O)Nc1nc2nc(c(c(n2n1)O)Cl)C	Calcineurin1	0.96	0.06
ZINC09233160	298.34	C16H18N4O2	COc1cccc(c1)/C=N/NC(=O)c2c3c([nH]n2)CCCC3	MeC	1.01	0.06
ZINC09271185	270.29	C14H14N4O2	c1ccc(c(c1)/C=N/NC(=O)c2c3c([nH]n2)CCC3)O	MeC	1.00	0.03
ZINC09275714	254.29	C14H14N4O	c1ccc(cc1)/C=N/NC(=O)c2c3c([nH]n2)CCC3	MeC	1.04	0.09
ZINC09303426	272.34	C16H20N2O2	CCCN(Cc1cc(=O)[nH]c2c1cccc2)C(=O)CC	CD36	0.86	0.09
ZINC09306182	301.57	C10H10BrClN4	Cc1cc(n(n1)c2nc(c(c(n2)Cl)Br)C)C	Calcineurin1	1.05	0.15
ZINC09423548	306.36	C18H18N4O	Cc1ccc(cc1)n2c3c(c4c(c2=O)CCCC4)c(ncn3)N	PI3K	0.93	0.04
ZINC09450710	318.30	C15H15FN4O3	Cc1c(c(n(n1)C)C)/C=C/C(=O)Nc2ccc(c(c2)[N+](=O)[O-])F	HIS path	0.98	0.07
ZINC09530919	332.40	C16H18N3O3S	C[C@@H](C(=O)[O-])NC(=O)N1CCC(CC1)c2nc3ccccc3s2	CYS path	0.92	0.18
ZINC09533404	275.33	C13H13N3O2S	CCOC(=O)c1c(c2c(ncnc2s1)NCC#C)C	Autophagy	0.98	0.11
ZINC09695761	270.12	C11H12BrNO2	COc1ccc(cc1C(=O)NCC=C)Br	Autophagy	1.26	0.22
ZINC09695795	258.11	C10H12BrNO2	CCNC(=O)c1cc(ccc1OC)Br	Autophagy	1.04	0.07
ZINC09711183	302.39	C16H18N2O2S	COc1cccc(c1)CNC(=O)N2CCc3c(ccs3)C2	FASII-PDIM metabolism	1.14	0.11
ZINC09721393	314.36	C15H14N4O2S	Cc1ccoc1C(=O)N2CCc3c(sc4c3c(ncn4)N)C2	PI3K	0.81	0.25
ZINC09896899	310.41	C18H18N2OS	Cc1cc2ccccc2n1CC(=O)N3CCc4c(ccs4)C3	FASII-PDIM metabolism	1.09	0.05
ZINC09949563	298.30	C12H18N4O5	Cc1c(c(on1)N)C(=O)OCC(=O)NCC(=O)NC(C)C	Proteasome I-lact-mg 132	1.01	0.07
ZINC09952766	296.32	C17H16N2O3	COc1ccccc1NC(=O)c2ccc3c(c2)CCC(=O)N3	CD36	1.05	0.07
ZINC09961270	294.39	C19H22N2O	c1ccc(cc1)CNC(=O)NCC2(CCC2)c3ccccc3	Lip	1.02	0.03
ZINC10030690	314.43	C18H26N4O	Cc1cc2nc(c(c(n2n1)C)CCC(=O)N3CCCCCC3)C	Calcineurin1	1.09	0.03
ZINC10053396	349.44	C18H22FN2O2S	c1cc(sc1)[C@@H](c2ccc(cc2)F)NC(=O)C[NH+]3CCC(CC3)O	Autophagy	0.89	0.14
ZINC10187848	323.32	C18H14FN3O2	c1cc(cnc1)NC(=O)c2ccc(=O)n(c2)Cc3ccc(cc3)F	GLN path	0.94	0.10
ZINC10187894	319.36	C19H17N3O2	Cc1ccc(cc1)Cn2cc(ccc2=O)C(=O)Nc3cccnc3	GLN path	1.00	0.10
ZINC10220537	340.76	C15H17ClN2O5	c1cc(c(cc1[N+](=O)[O-])Cl)C(=O)NC[C@@H]2COC3(O2)CCCC3	HIS path	0.98	0.14
ZINC10335826	285.34	C16H19N3O2	CCC(=O)NCCOc1ccc(nn1)c2ccc(cc2)C	HIS path	0.96	0.05
ZINC10509267	289.30	C15H16FN3O2	CCC(=O)NCCOc1ccc(nn1)c2ccc(cc2)F	HIS path	0.88	0.08
ZINC10860306	266.51	C9H6Cl3NO2	Cc1c(c2c(c(c1Cl)Cl)OCC(=O)N2)Cl	AKT1	0.89	0.16
ZINC10922095	310.41	C18H18N2OS	c1ccc2c(c1)c(c[nH]2)CCC(=O)N3CCc4c(ccs4)C3	FASII-PDIM metabolism	0.98	0.06
ZINC10923707	342.41	C18H18N2O3S	c1ccc2c(c1)N(C(=O)CO2)CCC(=O)N3CCc4c(ccs4)C3	FASII-PDIM metabolism	1.12	0.08
ZINC10924807	338.42	C19H18N2O2S	C=C1c2ccccc2C(=O)N1CCC(=O)N3CCc4c(ccs4)C3	FASII-PDIM metabolism	1.10	0.02
ZINC11304625	321.44	C16H23N3O2S	Cc1c(n(c(n1)SCC(=O)NCc2ccco2)CC(C)C)C	HIS path	0.78	0.22
ZINC11566232	328.21	C11H15Cl2NO4S	Cc1cc(c(cc1S(=O)(=O)N(CCO)CCO)Cl)Cl	ATPase	1.04	0.10
ZINC11631047	191.25	C12H15O2	CC(C)(CCC(=O)[O-])c1ccccc1	CYS path	0.96	0.11
ZINC11631048	205.27	C13H17O2	Cc1ccc(cc1)C(C)(C)CCC(=O)[O-]	CYS path	1.09	0.13
ZINC11750559	344.43	C18H20N2O3S	Cc1ccc(cc1C(=O)NCC2(CC2)c3ccccc3)S(=O)(=O)N	Lip	1.14	0.05
ZINC11754146	348.40	C20H20N4O2	Cn1c(ccn1)C(=O)N[C@H]2CC(=O)N(C2)Cc3cccc4c3cccc4	GLN path	1.01	0.20
ZINC11813584	349.82	C16H20ClN5O2	c1ccc(c(c1)CC2(CCN(CC2)C(=O)Cn3cnnn3)CO)Cl	Proteasome I-lact-mg 132	0.79	0.05
ZINC11818405	331.41	C18H24FN4O	CCn1c(c(cn1)C[NH2+][C@H]2CC(=O)N(C2)Cc3cccc(c3)F)C	GLN path	1.10	0.13
ZINC11847627	274.33	C16H20NO3	C[C@@H](c1ccc2c(c1)CCCC2)NC(=O)CCC(=O)[O-]	CYS path	1.28	0.27
ZINC11865129	268.26	C16H12O4	COc1ccc2c(c1)O/C(=C\c3cccc(c3)O)/C2=O	Autophagy	1.00	0.04
ZINC11874364	320.51	C19H30NOS	c1ccc(cc1)CC[C@@]2(CCC[NH+](C2)C3CCSCC3)CO	Proteasome I-lact-mg 132	0.93	0.06
ZINC11885310	184.26	C13H14N	c1ccc2c(c1)cccc2C3(CC3)[NH3+]	Proteasome inducers	1.02	0.14
ZINC11899274	311.37	C19H21NO3	COc1ccc(cc1)C(=O)NCC2(CC2)c3ccc(cc3)OC	Lip	1.03	0.14
ZINC11899821	300.33	C17H17FN2O2	Cn1cccc(c1=O)C(=O)NCC2(CC2)c3ccc(cc3)F	Lip	1.00	0.20
ZINC11919811	262.26	C11H7FN4OS	c1cc(ccc1n2c3c(cn2)c([nH]c(=S)n3)[O-])F	E3 ligase	0.96	0.05
ZINC11990412	254.24	C15H10O4	c1cc(cc(c1)O)/C=C\2/C(=O)c3ccc(cc3O2)O	Autophagy	1.14	0.10
ZINC12146595	340.40	C17H16N4O2S	c1ccc(cc1)CNC(=O)Cn2c(=O)c(cc(n2)c3cccs3)N	Proteasome I-lact-mg 132	0.90	0.03
ZINC12146636	330.38	C17H22N4O3	C[C@@H]1CCCC[C@@H]1NC(=O)Cn2c(=O)c(cc(n2)c3ccco3)N	Proteasome I-lact-mg 132	1.05	0.16
ZINC12181217	304.37	C14H16N4O2S	C[C@H](C(=O)NC1CC1)n2c(=O)c(cc(n2)c3cccs3)N	Proteasome I-lact-mg 132	1.17	0.06
ZINC12181273	346.45	C17H22N4O2S	C[C@@H]1CCCN(C1)C(=O)[C@@H](C)n2c(=O)c(cc(n2)c3cccs3)N	Proteasome I-lact-mg 132	1.18	0.06
ZINC12182870	302.33	C15H18N4O3	Cc1ccc(o1)c2cc(c(=O)n(n2)[C@H](C)C(=O)NC3CC3)N	Proteasome I-lact-mg 132	1.12	0.11
ZINC12215833	328.45	C17H16N2OS2	c1ccc2c(c1)nc(s2)CCC(=O)N3CCc4c(ccs4)C3	FASII-PDIM metabolism	1.34	0.05
ZINC12216622	308.42	C14H16N2O2S2	Cc1csc(=O)n1CCC(=O)N2CCc3c(ccs3)C2	FASII-PDIM metabolism	0.99	0.09
ZINC12297686	320.36	C17H21FN2O3	c1cc(cc(c1)F)CN2C[C@@H](CC2=O)NC(=O)C3CCOCC3	GLN path	0.94	0.02
ZINC12321303	166.22	C10H14O2	CCOc1cc(cc(c1C)O)C	Proteasome I-lact-mg 132	0.96	0.03
ZINC12324403	320.39	C20H20N2O2	COc1ccc2c(c1)ccn2CCC(=O)N3CCc4c3cccc4	FASII-PDIM metabolism	1.03	0.01
ZINC12324747	344.40	C19H24N2O4	COc1ccc2c(c1)ccn2CCC(=O)N3CCC4(CC3)OCCO4	FASII-PDIM metabolism	0.88	0.07
ZINC12343803	280.17	C10H11Cl2NO2S	C=CCNS(=O)(=O)Cc1ccc(c(c1)Cl)Cl	Cations channels	0.94	0.04
ZINC12359287	212.55	C7H4ClF3O2	c1cc(c(cc1O)OC(F)(F)F)Cl	Proteasome I-lact-mg 132	1.02	0.13
ZINC12360025	224.05	C9H6BrNO	c1cc(cc2c1ccnc2O)Br	Autophagy	1.28	0.11
ZINC12375300	240.23	C14H10NO3	c1ccc(c(c1)/C=N/c2ccccc2C(=O)[O-])O	TRP path	0.79	0.09
ZINC12376632	346.38	C20H18N4O2	c1ccc(cc1)Cn2ccc3c(c2=O)cc(c(n3)N4CCOCC4)C#N	GLN path	0.80	0.07
ZINC12381611	304.34	C16H20N2O4	CC(C)(C)c1cc(no1)NC(=O)c2ccc(c(c2)OC)OC	PI3K	1.03	0.03
ZINC12382296	296.21	C11H15Cl2NO2S	CC(C)CNS(=O)(=O)Cc1ccc(c(c1)Cl)Cl	Cations channels	0.83	0.09
ZINC12382299	261.77	C11H16ClNO2S	CC(C)CNS(=O)(=O)Cc1cccc(c1)Cl	Cations channels	0.82	0.13
ZINC12382642	282.19	C10H13Cl2NO2S	CC(C)NS(=O)(=O)Cc1ccc(c(c1)Cl)Cl	Cations channels	0.77	0.08
ZINC12406878	339.17	C15H12Cl2N2O3	COC1=C/C(=C/NNC(=O)c2ccc(cc2)Cl)/C=C(C1=O)Cl	PI3K	1.08	0.13
ZINC12417527	167.22	C10H15O2	C1CCC/C(=C\CC1)/CC(=O)[O-]	CYS path	0.65	0.20
ZINC12430509	336.81	C17H21ClN2O3	c1ccc(c(c1)CN2C[C@H](CC2=O)NC(=O)C3CCOCC3)Cl	GLN path	0.97	0.06
ZINC12478058	314.40	C19H24NO3	C[N+]1(CC[C@]23c4c5ccc(c4O[C@H]2[C@@H](C=C[C@H]3[C@H]1C5)O)OC)C	Proteasome inducers	0.88	0.12
ZINC12504647	340.33	C17H9FN2O3S	c1cc(ccc1/C=C/2\C(=O)N(C(=N2)[S-])c3ccc(cc3)F)C(=O)[O-]	HIS path	0.79	0.11
ZINC12505623	210.61	C10H7ClO3	Cc1c(c2cc(ccc2oc1=O)Cl)[O-]	Proteasome I-lact-mg 132	0.98	0.39
ZINC12506052	214.05	C9H5Cl2NO	c1c2cc(c(cc2[nH]c1C=O)Cl)Cl	CD36	0.79	0.06
ZINC12523263	320.39	C20H20N2O2	C=CCOc1ccc(cc1)[C@H]2Nc3ccccc3C(=O)N2C4CC4	Lip	1.18	0.06
ZINC12552457	331.41	C21H21N3O	Cc1cccc(c1C)C(=O)N2CCC(=CC2)c3c[nH]c4c3cccn4	PI3K	1.06	0.03
ZINC12559775	248.24	C9H6N5O2S	c1ccc(c(c1)N/N=C(/C#N)\C(=S)N)[N+](=O)[O-]	TRP path	0.83	0.13
ZINC12575487	349.45	C19H19N5S	c1ccc2c(c1)nc(s2)N3CCN(CC3)Cc4cn5ccccc5[nH+]4	ATPase	1.09	0.05
ZINC12578258	343.38	C18H24F3NO2	c1ccc(cc1)CC[C@@]2(CCCN(C2)C(=O)CCC(F)(F)F)CO	Proteasome I-lact-mg 132	1.44	0.26
ZINC12580863	296.39	C18H22N3O	CN(Cc1ccccc1)c2c(ccc[nH+]2)CNC(=O)CC=C	Proteasome I-lact-mg 132	1.06	0.11
